,Emotion,Sentence
0,Other,"Xem những hình ảnh này, rồi cả những gì họ hứng chịu bởi đại dịch để rồi trở thành Ấn Độ hoang tàn như bây giờ, cảm thấy vô cùng biết ơn Chính phủ, biết ơn đất nước tôi đã nổ lực bảo vệ người dân ntn. Tôi yêu Việt Nam!"
1,Other,"ở ấn độ có người nhiễm cúm corona rồi đó, ko tẩu nhanh đến lúc nó cấm biên với cấm bay là ở đó luôn đó khoa, ai đi qua đá like hộ cái cho ổng đọc được"
2,Enjoyment,"Khoa có hai cô bạn thật dễ thương, cô nào cũng xinh đẹp. Cô VN tận tâm hiền lành , cô Nhật duyên thầm. Xem clip này thấy Cameraman chuyên nghiệp quá trời. Cô ấy quay cảnh rõ nét và nội dung rất đáng giá. Thương cô ấy đã vì bạn trong chuyến đi này"
3,Other,Người ta đi review du lịch đi những nơi cao sang nếu đi tìm hiểu thì chỉ sơ sơ cuộc sống đời thường của ng dân còn ông Khoa lặn lội vô cả chỗ thiêu xác. Kênh youtube đầu tiên ở VN mà mình thấy có tâm đến vậy xem mà hồi hộp dùm cho anh và chị cameraman.  Cảm ơn anh thiệt sự đó giờ xem phim Ấn nghe nói sông Hằng rửa tội mà không biết ra sao nay thì biết rồi biết thêm chỗ hồi xưa Phật thuyết giảng nữa.  Quá là ok luôn ạ.
4,Other,"Cám ơn Khoa và Cameraman đã không ngại khổ mà mang lại cho mọi người những thước phim chân thật hơn bao giờ hết! Có lẽ đây là điều mà ít Youtuber khác cho mọi người thấy (kể cả youtuber nước ngoài)! 
Có lẽ Ấn Độ sẽ không nằm trong danh sách những nước mà mình muốn tới :("
5,Enjoyment,"Năm 2014 tôi được tổng cty cho đi chuyến tập huấn thực tế thăm quan ở ấn độ gần 6 tháng, cảm nhận nói chung thì ở ấn độ cũng có rất nhiều điểm du lịch đẹp hấp dẫn, có những tp giàu sầm uất tầm cỡ châu lục như Dubai, New delhe chẳng hạn, nhưng bên cạnh đó thì ấn độ cũng vẫn còn có nhiều nơi nghèo và lạc hậu lắm, chỉ cần ra đến khu ven thành phố là đã thấy sự chênh lệch giàu nghèo khác nhau xa lắm rồi. Sự chênh lệch giàu nghèo ở ấn độ phải nói là xa vời vợi luôn, nhà nào đã giàu thì phải nói là rất rất.. rất giàu vì giới nhà giàu ấn độ họ có đất đai tính bằng km, có nhà to như lâu đài, có máy bay, trực thăng  riêng, xế hộp có vài chục chiếc, cả trăm người ở giúp việc trong nhà,.. cái này là do nhiều gia đình họ giàu có qua nhiều thế hệ rồi, họ có thể là hậu duệ của những vương gia hay địa chủ từ thời phong kiến ấn độ, còn lại là đa số các chủ doanh nghiệp hoặc quan chức tự lập, nhưng nói chung thì dân số nghèo ở ấn độ cũng còn quá nhiều, có nhiều nhà có thể nói là nghèo đến tệ hại luôn, nghèo đến nỗi chỗ ngủ bình thường ko có, chỗ đi vệ sinh.. cũng chẳng có, cái này thì dễ bắt gặp lắm vì cứ sớm ra tại các khu phố nghèo ở trong hay ven thành phố, do ko có đủ nhà vệ sinh công cộng người dân họ đi vệ sinh la liệt tại bãi đất hoang, cạnh bến xe, cạnh những đường ray tàu hỏa, buồn nhất là có cả đàn ông lẫn phụ nữ đi cùng một khu nhìn rất mất thiện cảm, kênh BBC cũng đã làm phim tài liệu nói về vấn đề này một lần.
 Nói về vấn đề hỏa táng và thủy táng trên thì cũng phải nói thật là lần đầu tiên khi nhìn thấy, tôi và 3 người vn đi cùng cũng phải nôn, còn 2 bạn nữ đi cùng ko dám suống bởi khi tới đó đã ngửi thấy mùi khét kinh dị từ rất xa, người ta mang thi thể ra sát bờ sông làm lễ qua loa rồi xếp củi đặt thi thể và đổ dầu hỏa vào thiêu nhìn rất là khiếp đảm, con sông hằng nổi tiếng thì lúc nào cũng đục ngầu chắc do tro, cốt, váng mỡ người gây ra sông, thậm trí họ còn thủy táng là thả cả  thi thể suống sông cho trôi đâu thì trôi, đó là vì một số gia đình quá nghèo ko có đủ điều kiện để mai táng cẩn thận, vậy mà ở dưới kia sông cách chỗ họ hỏa táng khoảng 6km người dân vẫn giặt dũ, ghánh nước về sinh hoạt bình thường. Nói chung là nếu có đi ấn độ bạn ko nên đến những địa điểm này làm gì, xẽ ám ảnh phá hỏng cả chuyến đi.
 Đây ko phải là chê đâu vì cái này là mình được nghe từ những người đồng nghiệp ấn độ và được nhìn thấy tận mắt mới nói, mấy anh đồng nghiệp ấn độ cũng tâm sự với mọi người là cũng ""rất buồn, vì ấn độ là một nước lớn, là nơi có nhiều điểm du lịch di tích lịch sử nhưng lại để du khách nước khác đến có ánh mắt nhìn ko mấy thiện cảm"", họ cũng nói ""vấn đề này có thể nói là vì văn hóa, tín ngưỡng, vì những hủ tục lạc hậu của người ấn độ một phần và do chính phủ chưa thực sự quan tâm đến đời sống của người dân nên tình trạng này ko biết đến bao giờ xẽ thay đổi""."
6,Other,Mình rất thương nhưng người làm từ thiện  vô cùng vì họ giúp đỡ người khác thoát khỏi những thiếu hụt mình xin chúc cho tất cả  sống vui vẻ và hạnh phúc
7,Enjoyment,"Xem xong tôi thấy tổ quốc ta vẫn tuyệt vời,  rất hạnh phúc khi là con người việt nam"
8,Fear,Ôi bình yên. K ai nghĩ 1 năm sau đại họa sảy ra. Những ng trong clip liêu ai còn ai mất. Thương quá
9,Fear,"Người ta có tiền thì đi du lịch,  còn tôi du lịch bằng mắt,  cám ơn khoapug đã cho các video hay 
 , ai giống mình"
